2023-10-05,16:21:31,日本標準時,EAN 13,4902831510740,teabag
2023-10-05,16:29:11,日本標準時,EAN 13,4901002772802,味付け塩コショウ
2023-10-05,16:30:32,日本標準時,EAN 13,4560148204358,シーソルトミル付き
2023-10-05,16:38:43,日本標準時,EAN 13,4901820161420,食ぱん
2023-10-05,16:48:17,日本標準時,EAN 13,4973227208343,歯ブラシ
2023-10-05,16:50:15,日本標準時,EAN 13,4523160476189,スティックシュガー
2023-10-17,20:40:59,日本標準時,EAN 13,4901201103803,UCCコーヒ117
2023-10-17,20:44:18,日本標準時,EAN 13,4932707029212,ドトールコーヒー90g
2023-10-19,06:49:48,日本標準時,EAN 13,4973766004390,
2023-10-19,06:54:40,日本標準時,EAN 13,4973571325321,
2023-11-02,07:05:33,日本標準時,EAN 13,4903301205623,
2023-11-02,07:05:52,日本標準時,EAN 13,4940921819403,
2023-11-02,07:06:04,日本標準時,EAN 13,4549131421965,
2023-11-02,07:06:31,日本標準時,EAN 13,4549131370539,
2023-11-02,07:06:57,日本標準時,EAN 13,4549777703920,
2023-11-02,07:08:27,日本標準時,EAN 13,4979909922316,
2023-11-02,07:09:05,日本標準時,EAN 13,4903301136842,
2023-11-02,07:09:55,日本標準時,EAN 13,4901301281630,
2023-11-02,07:10:55,日本標準時,EAN 13,4901080308214,
2023-11-02,07:11:07,日本標準時,EAN 13,4901616008205,
